route,date,daytype,rides
1,2/3/20,W,1993
1,2/4/20,W,1992
1,2/5/20,W,2054
1,2/6/20,W,2040
1,2/7/20,W,1690
1,2/10/20,W,1906
1,2/11/20,W,1836
1,2/12/20,W,1981
1,2/13/20,W,1928
1,2/14/20,W,1608
1,2/17/20,W,1166
1,2/18/20,W,2073
1,2/19/20,W,2076
1,2/20/20,W,1817
1,2/21/20,W,1855
1,2/24/20,W,1844
1,2/25/20,W,2125
1,2/26/20,W,2209
1,2/27/20,W,2180
1,2/28/20,W,1856
100,2/3/20,W,580
100,2/4/20,W,538
100,2/5/20,W,518
100,2/6/20,W,488
100,2/7/20,W,543
100,2/10/20,W,509
100,2/11/20,W,578
100,2/12/20,W,511
100,2/13/20,W,504
100,2/14/20,W,427
100,2/17/20,W,262
100,2/18/20,W,521
100,2/19/20,W,525
100,2/20/20,W,490
100,2/21/20,W,514
100,2/24/20,W,535
100,2/25/20,W,566
100,2/26/20,W,463
100,2/27/20,W,449
100,2/28/20,W,549
1001,2/1/20,A,651
1001,2/2/20,U,3338
1001,2/3/20,W,14
1001,2/4/20,W,3
1001,2/5/20,W,3
1001,2/6/20,W,19
1001,2/7/20,W,388
1001,2/8/20,A,6356
1001,2/9/20,U,6375
1001,2/10/20,W,49
1001,2/11/20,W,4
1001,2/12/20,W,78
1001,2/13/20,W,71
1001,2/14/20,W,274
1001,2/15/20,A,1467
1001,2/16/20,U,3220
1001,2/17/20,W,320
1001,2/18/20,W,5
1001,2/19/20,W,13
1001,2/20/20,W,6
1001,2/21/20,W,601
1001,2/22/20,A,1977
1001,2/23/20,U,3047
1001,2/24/20,W,13
1001,2/25/20,W,88
1001,2/26/20,W,10
1001,2/27/20,W,57
1001,2/28/20,W,144
1001,2/29/20,A,9
103,2/1/20,A,1141
103,2/2/20,U,911
103,2/3/20,W,2227
103,2/4/20,W,2184
103,2/5/20,W,2143
103,2/6/20,W,2047
103,2/7/20,W,2007
103,2/8/20,A,1099
103,2/9/20,U,762
103,2/10/20,W,1851
103,2/11/20,W,2186
103,2/12/20,W,2016
103,2/13/20,W,2172
103,2/14/20,W,1710
103,2/15/20,A,921
103,2/16/20,U,781
103,2/17/20,W,1214
103,2/18/20,W,2080
103,2/19/20,W,1966
103,2/20/20,W,2013
103,2/21/20,W,2108
103,2/22/20,A,957
103,2/23/20,U,812
103,2/24/20,W,2008
103,2/25/20,W,1879
103,2/26/20,W,1867
103,2/27/20,W,1976
103,2/28/20,W,1893
103,2/29/20,A,937
106,2/1/20,A,434
106,2/2/20,U,308
106,2/3/20,W,1384
106,2/4/20,W,1384
106,2/5/20,W,1493
106,2/6/20,W,1522
106,2/7/20,W,1242
106,2/8/20,A,399
106,2/9/20,U,262
106,2/10/20,W,1436
106,2/11/20,W,1590
106,2/12/20,W,1336
106,2/13/20,W,1316
106,2/14/20,W,984
106,2/15/20,A,378
106,2/16/20,U,309
106,2/17/20,W,563
106,2/18/20,W,1487
106,2/19/20,W,1329
106,2/20/20,W,1386
106,2/21/20,W,1235
106,2/22/20,A,439
106,2/23/20,U,337
